1. Ce vă nemulțumește la sistemul fiscal românesc?,2. Dacă ați fi ministrul finanțelor publice ce ați schimba la sistemul fiscal românesc?,"3. În opinia dumneavoastră, ce vă oferă sistemul fiscal actual?"
"- injustetea sociala
- impunerea excesiva
- privilegiile pe care si le rezerva statul in raport cu contribuabilul
- ineficienta",as incerca sa-l orientez spre cetatean.,"- crestere a nivelului de trai in mod semi-eficient
-sustinere insuficienta a functiei sociale a statului
- impovararea IMM-urilor"
Ineficiența utilizării sumelor de bani strânse din taxe și impozite.,Aș crea un mediu de afacere stabil.,Birocrație excesivă.
"Organizarea probabil deficitara,
Circuitul lung parcurs de bani, care se pierd pe parcurs
Mascarea continua a modificarilor realizare in interesul parlamentarilor. Cum a fost cu modificarea pensiilor la parlamentari, modificare pusa in umbra de altceva (nu mai retin ce anume) si astfel nu s-a facut mult caz pe tema asta.
Lipsa de incurajare din partea statului si lipsa de dorinta de a fi corecti. 
Interesul personal al tuturor depaseste interesul comun, de a contribui in organizarea cat mai buna a statului.","Din postura mea de acum imi este greu sa dau un raspuns elocvent. In mod evident ca exista o multime de probleme atat de ordin organizatoric cat si de ordin uman. Consider ca principala problema sunt oamenii, oamenii care vin cu idei, oamenii care le aplica etc. Cei care in momentul de fata aflati in subordinea ministrului de finante gresesc in mod cert. Atata timp cat nu se poate crea o impresie ca rolul principal al statului este de a ajuta cetatenii si de a-i sustine, nu cred ca este nimeni dornic sa plateasca cat mai mult statului (si ma refer la darile obligatorii). Toata lumea este constienta ca cei de la conducere sunt mai mult pe interes, toata lumea e constienta ca suntem ingropati in datorii.. Ce s-ar mai putea schimba acum?","Un trai decent, servicii sociale intre mediocru si superior, depinde de domeniu. In momentul de fata poate si stabilitate financiara, dar in ultimii ani aceasta a cam lipsit dar si din cauza crizei, nu neaparat a sistemului fiscal din tara."
Nu prea am incredere in sistem.,Nu prea stiu ce as schimba dar as face ceva in privinta asta.,Nu stiu
Fiscalitatea din Romania e plina de contradictii,"Simplificarea legislatiei si a raportarilor fiscale,
un mod de calcul simplu si usor de inteles atat pentru contributiile sociale, cat si pentru impozite si taxe.",Proceduri complicate....
"- instabilitatea (schimbarea schimbarii)
- masurile care dovedesc lipsa de analiza profunda a realitatilor social-economice
- lipsa stimularii dezvoltarii economice (impozite prea mari pentru angajatorii autohtoni si straini, lipsa facilitatilor fiscale semnificative pentru cei care angajeaza persoane fara experienta sau a celor trecuti de o anumita varsta, lipsa infrastructurii)
- gasirea unor solutii nepotrivite pentru descurajarea muncii la negru
- lipsa de transparenta
- lipsa de incredere si de siguranta
- protectie sociala scazuta
- lipsa prioritizarii actiunilor
- ineficienta sa nu duce la o schimbare a sistemului fiscal actual cu unul mai bun, la apelul la modelul altor state mai dezvoltate, ci la imprumuturi care sporesc nepermis datoria publica",As face o analiza profunda si as inlocui formele fara fond cu masuri de politica financiara care se preteaza la realitatile social-economice din tara noastra.,O mica speranta de scadere a gradului de coruptie. 
"Locuri de munca prea putine, salarii mici, impozite si taxe mari",As asigura locuri de munca tinerilor si as da amenda angajatorilor care nu angajeaza tineri fara experienta in domeniu,-
"Lipsa de transparenta in utilizarea banilor publici, birocratia din sistemul financiar, existenta unor impozite nejustificate ex: ""impozitul pe terenul de sub bloc""","Acordarea de facilitati fiscale  intreprinzatorilor, crearea unui sistem fiscal de incredere pentru cetateni, reducerea taxelor, cresterea amenzilor pentru contribuabilii rau platnici",Taxe si impozite nejustificate si mult prea mari in comparatie cu serviciile publice primite in schimb
"Eu nu am nemultumiri in privința sistemului fiscal românesc. Legile sunt clare, bine gândite. Dacă toți cetățenii ar fi corecți, plătind la timp contribuțiile, respectând legile, economia ar crește și țara s-ar dezvolta mai mult.","Daca aș fi Ministrul Finanțelor, eu aș căuta să dezvolt și să implementez noi strategii fiscale, funcționabile pe termen lung, prin care să se atragă noi investitori, noi investiții și tot odată să se creeze noi locuri de muncă. Pe partea de venituri, aș impune constrângeri mai tari rău-platnicilor, iar pe partea de cheltuieli aș căuta să se pună accent pe alocarea fondurilor și eficiența acestora.  ","Sistemul fiscal îmi ofera încredere pentru că din banii noștri se asigură serviciile publice administrative de care avem nevoie cu toții, și plătim un serviciu public de care voi beneficia la un moment dat.
"
Ls sitemul fiscal romanesc ma nemultumeste birocratia.,Daca as fi ministrul finantelor publice as face legi care sa privilegieze persoanele cu venituri reduse.,"In opinia mea, sistemul fiscal  actual ne ofera informatii cu privire la legile fiscale si iti ofera confort in vederea achitarii taxelor si impozitelor online."
